AB21,VPOG4,SCUA4[18]=1 & SCU94[1:0]!=0 & GFX064[7]=1,SIOPBO#,SCUA4[18]=1 | Strap[19]=1,NORA2,SCU90[31]=1,GPIOZ2
AA21,VPOG5,SCUA4[19]=1 & SCU94[1:0]!=0 & GFX064[7]=1,SIOSCI#,SCUA4[19]=1 | Strap[19]=1,NORA3,SCU90[31]=1,GPIOZ3
U21,VPOG6,SCUA4[20]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,GPIOZ4,,NORA4,SCU90[31]=1,GPIOZ4
W22,VPOG7,SCUA4[21]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,GPIOZ5,,NORA5,SCU90[31]=1,GPIOZ5
V22,VPOG8,SCUA4[22]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,GPIOZ6,,NORA6,SCU90[31]=1,GPIOZ6
W21,VPOG9,SCUA4[23]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,GPIOZ7,,NORA7,SCU90[31]=1,GPIOZ7
Y21,VPOR2,SCUA4[24]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,SALT7,SCUA4[24]=1,NORD0,SCU90[31]=1,GPIOAA0
V21,VPOR3,SCUA4[25]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,SALT8,SCUA4[25]=1,NORD1,SCU90[31]=1,GPIOAA1
Y22,VPOR4,SCUA4[26]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,SALT9,SCUA4[26]=1,NORD2,SCU90[31]=1,GPIOAA2
AA22,VPOR5,SCUA4[27]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,SALT10,SCUA4[27]=1,NORD3,SCU90[31]=1,GPIOAA3
U22,VPOR6,SCUA4[28]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,SALT11,SCUA4[28]=1,NORD4,SCU90[31]=1,GPIOAA4
T20,VPOR7,SCUA4[29]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,SALT12,SCUA4[29]=1,NORD5,SCU90[31]=1,GPIOAA5
N18,VPOR8,SCUA4[30]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,SALT13,SCUA4[30]=1,NORD6,SCU90[31]=1,GPIOAA6
P19,VPOR9,SCUA4[31]=1 & SCU94[1:0]!=0 & GFX064[7:6]=10,SALT14,SCUA4[31]=1,NORD7,SCU90[31]=1,GPIOAA7
N19,VPODE,SCUA8[0]=1 & SCU94[1:0]!=0 & GFX064[7]=1,,,NOROE#,SCU90[31]=1,GPIOAB0
T21,VPOHS,SCUA8[1]=1 & SCU94[1:0]!=0 & GFX064[7]=1,,,NORWE#,SCU90[31]=1,GPIOAB1
T22,VPOVS,SCUA8[2]=1 & SCU94[1:0]!=0 & GFX064[7]=1,WDTRST1,SCUA8[2]=1,GPIOAB2,,
R20,VPOCLK,SCUA8[3]=1 & SCU94[1:0]!=0 & GFX064[7]=1,WDTRST2,SCUA8[3]=1,GPIOAB3,,
G21,ESPID0,Strap[25]=1,LAD0,SCUAC[0]=1,GPIOAC0,,
G20,ESPID1,Strap[25]=1,LAD1,SCUAC[1]=1,GPIOAC1,,
D22,ESPID2,Strap[25]=1,LAD2,SCUAC[2]=1,GPIOAC2,,
E22,ESPID3,Strap[25]=1,LAD3,SCUAC[3]=1,GPIOAC3,,
C22,ESPICK,Strap[25]=1,LCLK,SCUAC[4]=1,GPIOAC4,,
F21,ESPICS,Strap[25]=1,LFRAME#,SCUAC[5]=1,GPIOAC5,,
F22,ESPIALT,Strap[25]=1,LSIRQ#,SCUAC[6]=1,GPIOAC6,,
G22,ESPIRST#,Strap[25]=1,LPCRST#,SCUAC[7]=1,GPIOAC7,,
